model,gameweek,target_gameweek,position,kendall_tau,ndcg,player_count,p_value
DeepLearning,13,14,DEF,0.4574884535968027,0.8798608084056228,229,2.5323456873616877e-19
DeepLearning,13,14,MID,0.5662853096758823,0.7891340669832346,314,4.563563237421586e-40
DeepLearning,13,14,FWD,0.5578249324194874,0.7467710832956571,75,2.7494213529816566e-10
DeepLearning,13,14,ALL,0.5235665812892024,0.9181896508639924,690,3.7570193284359045e-73
DeepLearning,14,15,GK,0.5965647948334166,0.7620952154537677,65,1.4002116092321998e-09
DeepLearning,14,15,DEF,0.506826057740622,0.7720871461584126,210,3.827098137903559e-21
DeepLearning,14,15,MID,0.5962621004576306,0.8309417660965824,288,1.3819038113119808e-40
DeepLearning,14,15,FWD,0.6409342873170669,0.7935683050095194,67,6.214950797640423e-12
DeepLearning,14,15,ALL,0.5767206554402271,0.8275238390068532,630,3.656639935739022e-80
DeepLearning,15,16,GK,0.532528804510214,0.7973272662459847,65,4.556455580567069e-08
DeepLearning,15,16,DEF,0.46028067319054833,0.8927660199652733,210,4.833500351436604e-18
DeepLearning,15,16,MID,0.6100929075740049,0.7536912508869423,288,1.5262756362274582e-42
DeepLearning,15,16,FWD,0.6239705954457885,0.8274380668868602,67,3.088246167063921e-11
DeepLearning,15,16,ALL,0.5534370874646207,0.889964771379889,630,1.7477948882444889e-74
DeepLearning,16,17,GK,0.5192832983668813,0.6828909426134749,72,1.9628762236762494e-08
DeepLearning,16,17,DEF,0.41540013142035026,0.7861677270846156,234,9.941060664270084e-17
DeepLearning,16,17,MID,0.581464057456317,0.8029454191192351,319,6.17438375225275e-43
DeepLearning,16,17,FWD,0.6016690256700653,0.6933199575450165,76,1.3924360749911328e-11
DeepLearning,16,17,ALL,0.5212490865171518,0.8592096973499158,701,4.910129631731872e-74
DeepLearning,18,19,GK,0.4995690874469938,0.691427623007975,73,6.310192862461428e-08
DeepLearning,18,19,DEF,0.5081433871642522,0.8184437493246203,237,1.1235509159795937e-23
DeepLearning,18,19,MID,0.5890775241067673,0.8185869894564587,319,8.941919895633276e-44
DeepLearning,18,19,FWD,0.598674243021638,0.7528529416023538,76,9.890756845343169e-12
DeepLearning,18,19,ALL,0.5546885087722181,0.8243455925478058,705,6.666949157879065e-83
DeepLearning,19,20,GK,0.5446308960812158,0.8643680767659386,73,3.36836162085718e-09
DeepLearning,19,20,DEF,0.42782039042881725,0.8667215677189181,239,1.267775267828535e-17
DeepLearning,19,20,MID,0.5900929325150592,0.8060517936162854,319,1.0308525546568538e-43
DeepLearning,19,20,FWD,0.6339646014580176,0.7938629591885413,78,2.368772844002386e-13
DeepLearning,19,20,ALL,0.5389811280587445,0.9059578157604932,709,8.348525657422992e-79
DeepLearning,20,21,GK,0.5857984554576573,0.6887135458560033,73,2.178493219639294e-10
DeepLearning,20,21,DEF,0.5264593444926521,0.7050527133534595,240,6.026283930343581e-26
DeepLearning,20,21,MID,0.5993443868805178,0.8397999971544428,320,9.657735863950106e-46
DeepLearning,20,21,FWD,0.5077856571198232,0.8107908916421422,78,9.037878151786849e-09
DeepLearning,20,21,ALL,0.5636928978443496,0.8518390560211512,711,1.4428673159613849e-86
DeepLearning,21,22,GK,0.5474944385124318,0.7112457111960908,75,2.0762492564995054e-09
DeepLearning,21,22,DEF,0.4639105133189001,0.9265770467667268,246,6.326559328912875e-21
DeepLearning,21,22,MID,0.5513740786551498,0.6942631751827454,323,4.3882613897845715e-39
DeepLearning,21,22,FWD,0.5873505948819866,0.6325784200459147,80,6.196157808284381e-12
DeepLearning,21,22,ALL,0.529426807578113,0.8629290309100559,724,6.413145781288848e-78
DeepLearning,22,23,GK,0.5418353974980621,0.7424459282146958,76,2.1171992595292864e-09
DeepLearning,22,23,DEF,0.5472072270815174,0.8099498775665378,247,4.5099770258346745e-29
DeepLearning,22,23,MID,0.5624628396355096,0.8618838969741309,326,1.485702342379789e-40
DeepLearning,22,23,FWD,0.6286574683294707,0.751157696958185,80,3.381760553471043e-13
DeepLearning,22,23,ALL,0.5618866710523608,0.8801135411394354,729,6.899249843253595e-88
DeepLearning,23,24,GK,0.419020280219186,0.7756487504981769,77,2.9490168657328005e-06
DeepLearning,23,24,DEF,0.44971376565536336,0.8978431179034809,250,2.6444076509912165e-20
DeepLearning,23,24,MID,0.540606725542183,0.8141127031534128,328,4.513583386024201e-38
DeepLearning,23,24,FWD,0.5398423070583406,0.6717060482201502,81,3.2039328444887605e-10
DeepLearning,23,24,ALL,0.4988201847935242,0.9192475337953037,736,1.169709519592442e-70
DeepLearning,24,25,GK,0.5441956134770299,0.6844950550568134,86,1.5806207068778818e-10
DeepLearning,24,25,DEF,0.5185414477667201,0.9186293777183624,273,1.5235004620822784e-28
DeepLearning,24,25,MID,0.5770170319327248,0.774814612375945,359,3.5515927697218145e-47
DeepLearning,24,25,FWD,0.5095402449094676,0.771640447728525,91,4.5730418133709147e-10
DeepLearning,24,25,ALL,0.5489315501053078,0.8973322032101677,809,5.310208840007333e-93
DeepLearning,25,26,GK,0.5473951341249316,0.7675577242283298,90,4.772099732778967e-11
DeepLearning,25,26,DEF,0.47061250374075664,0.8451991756879618,284,9.700831333628744e-25
DeepLearning,25,26,MID,0.5794106128738089,0.9047899319334596,375,7.224592881677987e-50
DeepLearning,25,26,FWD,0.5255119666156465,0.6992376514715121,87,3.7547785306071123e-10
DeepLearning,25,26,ALL,0.5438526112499065,0.9120336288529988,836,2.0715938446234525e-94
DeepLearning,26,27,GK,0.5839085524469703,0.7541034676345255,81,2.7721072502527135e-11
DeepLearning,26,27,DEF,0.5390026749517159,0.9062442337606637,259,1.5069118348381488e-29
DeepLearning,26,27,MID,0.5980881351633588,0.848923821559676,339,1.3159541484530868e-47
DeepLearning,26,27,FWD,0.5406626296894035,0.6667549359050421,84,2.3054095097186058e-10
DeepLearning,26,27,ALL,0.5706898551935276,0.9160323540244315,763,8.162313722830013e-95
DeepLearning,27,28,GK,0.5503122835037765,0.7326529421783536,81,3.674896854456275e-10
DeepLearning,27,28,DEF,0.5465499814651037,0.7148036539496386,259,3.4574400448109634e-30
DeepLearning,27,28,MID,0.6057756033395529,0.8254177826520974,339,8.112228078263009e-49
DeepLearning,27,28,FWD,0.5345731436225618,0.5946781319902887,85,3.641900288840302e-10
DeepLearning,27,28,ALL,0.5715765517997355,0.8030623657531737,764,5.14805610988531e-95
DeepLearning,28,29,GK,0.5653891874461385,0.6532298726787186,65,1.1493147715284828e-08
DeepLearning,28,29,DEF,0.5497701928699636,0.8191571980849867,211,6.342921127327286e-25
DeepLearning,28,29,MID,0.5944308414397077,0.685880703452964,273,3.7885152667982903e-38
DeepLearning,28,29,FWD,0.5615281190063464,0.7139411276340603,74,5.509447573338382e-10
DeepLearning,28,29,ALL,0.5749363039850565,0.8132786021372884,623,2.7081332882545475e-78
DeepLearning,29,30,GK,0.5670159295506673,0.751465716744063,65,7.839163155354752e-09
DeepLearning,29,30,DEF,0.4947135503240217,0.7536903555068566,211,1.407283948739423e-20
DeepLearning,29,30,MID,0.49414769362895883,0.6922370092122723,273,1.7085817613068127e-26
DeepLearning,29,30,FWD,0.540143195658545,0.7472151260829241,74,3.173668931875091e-09
DeepLearning,29,30,ALL,0.5074037397743512,0.748422647413716,623,4.622287206679991e-61
GBReg,1,2,GK,0.5661383740838927,0.9502554857991113,66,4.7165163574322855e-09
GBReg,1,2,DEF,0.5523178223599279,0.8804462169586147,203,7.35489404283265e-25
GBReg,1,2,MID,0.6137732325652664,0.8034590315867166,276,3.263233049316152e-42
GBReg,1,2,FWD,0.6805743339100652,0.8549531494697374,71,1.6271290120262906e-13
GBReg,1,2,ALL,0.5927631670344103,0.892495158791573,616,1.2940117778373712e-84
GBReg,2,3,GK,0.45158865655904373,0.713379256093498,67,2.4533867605075683e-06
GBReg,2,3,DEF,0.5583366009329023,0.7689905149290839,205,3.9483001209652557e-25
GBReg,2,3,MID,0.5720077233663974,0.9028996386227532,283,2.726587942462416e-37
GBReg,2,3,FWD,0.6945450027254738,0.9088553412642317,72,1.7259174018417533e-14
GBReg,2,3,ALL,0.5693180202862775,0.9292441267057535,627,1.0792592643115084e-78
GBReg,3,4,GK,0.5063229934999282,0.7245899801733267,69,8.533561985888805e-08
GBReg,3,4,DEF,0.532363467271365,0.83358629239899,210,5.826761332266762e-24
GBReg,3,4,MID,0.55223028806037,0.7499037619747508,296,3.559453421999957e-36
GBReg,3,4,FWD,0.49232496295072475,0.8098004971621842,73,4.660938528212323e-08
GBReg,3,4,ALL,0.5473619924128073,0.8883380057198609,648,1.2714025014791013e-75
GBReg,4,5,GK,0.504071368757336,0.6683498778588539,69,9.908041396110428e-08
GBReg,4,5,DEF,0.560017191810787,0.6954107791161409,215,1.7726108841888296e-26
GBReg,4,5,MID,0.5613203282434531,0.9030753708439455,302,3.3897928522533343e-38
GBReg,4,5,FWD,0.6259798108037445,0.7717777910590669,73,2.8310729379085017e-12
GBReg,4,5,ALL,0.5718873922645841,0.9045301584863495,659,2.2478510481186036e-83
