prediction_gw,target_gw,algorithm,formation,predicted_points,actual_points,actual_points_no_captaincy,avg_fpl_points,captain,captain_points,prediction_diff,prediction_diff_pct,prediction_accuracy,avg_player_diff,std_player_diff,points_vs_avg,pct_vs_avg
5,6,LSTM,4-3-3,75.20949745178223,68,58,50,Mohamed Salah,20,17.209497451782227,-22.882080102736303,70.32845266934099,-1.5644997683438389,7.309383307733968,18,36.00000000000001
5,6,RFReg,3-4-3,50.45347583501828,77,67,50,Mohamed Salah,20,-16.54652416498172,32.7956080153694,75.30369527614668,1.5042294695437926,6.890742815091015,27,54.0
5,6,RFReg,3-4-3,50.45347583501828,77,67,50,Mohamed Salah,20,-16.54652416498172,32.7956080153694,75.30369527614668,1.5042294695437926,6.890742815091015,27,54.0
5,6,Ridge,3-5-2,54.300999642712966,60,50,50,Mohamed Salah,20,4.300999642712966,-7.920663838626307,91.39800071457407,-0.39099996751936084,6.745446259526793,10,19.999999999999996
5,6,Ridge,3-5-2,54.300999642712966,60,50,50,Mohamed Salah,20,4.300999642712966,-7.920663838626307,91.39800071457407,-0.39099996751936084,6.745446259526793,10,19.999999999999996
5,6,XGBoost,4-4-2,56.43399620056152,87,62,50,Cole Palmer,50,-5.566003799438477,9.86285603390089,91.02257451703471,0.5060003454034978,6.729924427539875,37,74.0
5,6,XGBoost,4-4-2,56.43399620056152,87,62,50,Cole Palmer,50,-5.566003799438477,9.86285603390089,91.02257451703471,0.5060003454034978,6.729924427539875,37,74.0
6,7,DeepLearning,3-5-2,47.18058252334595,64,48,46,Bukayo Saka,32,-0.8194174766540527,1.7367684603058597,98.29288025697073,0.07449249787764116,3.917020054765109,18,39.13043478260869
6,7,DeepLearning,3-5-2,47.18058252334595,64,48,46,Bukayo Saka,32,-0.8194174766540527,1.7367684603058597,98.29288025697073,0.07449249787764116,3.917020054765109,18,39.13043478260869
6,7,GBReg,4-4-2,54.04292472044305,41,38,46,Mohamed Salah,6,16.042924720443047,-29.685522764415495,57.78177705146567,-1.4584477018584587,3.9215336046543814,-5,-10.869565217391308
6,7,GBReg,4-4-2,54.04292472044305,41,38,46,Mohamed Salah,6,16.042924720443047,-29.685522764415495,57.78177705146567,-1.4584477018584587,3.9215336046543814,-5,-10.869565217391308
6,7,LSTM,4-3-3,81.53585910797119,55,39,46,Bukayo Saka,32,42.53585910797119,-52.168284695013114,0.0,-3.8668962825428355,5.113349554993122,9,19.565217391304344
6,7,LSTM,4-3-3,81.53585910797119,55,39,46,Bukayo Saka,32,42.53585910797119,-52.168284695013114,0.0,-3.8668962825428355,5.113349554993122,9,19.565217391304344
6,7,RFReg,4-3-3,48.53213531419399,66,63,46,Mohamed Salah,6,-14.467864685806013,29.810896619614958,77.03513541935554,1.3152604259823646,4.21553964544343,20,43.47826086956521
6,7,RFReg,4-3-3,48.53213531419399,66,63,46,Mohamed Salah,6,-14.467864685806013,29.810896619614958,77.03513541935554,1.3152604259823646,4.21553964544343,20,43.47826086956521
6,7,Ridge,4-3-3,52.57623097947554,63,57,46,Cole Palmer,12,-4.42376902052446,8.414009407124269,92.23900171837815,0.4021608200476784,4.016094976322567,17,36.956521739130444
6,7,Ridge,4-3-3,52.57623097947554,63,57,46,Cole Palmer,12,-4.42376902052446,8.414009407124269,92.23900171837815,0.4021608200476784,4.016094976322567,17,36.956521739130444
6,7,XGBoost,3-5-2,56.99797177314758,48,45,46,Mohamed Salah,6,11.997971773147583,-21.04982230051907,73.33784050411649,-1.0907247066497803,4.134961142858332,2,4.347826086956519
6,7,XGBoost,3-5-2,56.99797177314758,48,45,46,Mohamed Salah,6,11.997971773147583,-21.04982230051907,73.33784050411649,-1.0907247066497803,4.134961142858332,2,4.347826086956519
7,8,DeepLearning,3-5-2,45.58009719848633,37,35,36,Cole Palmer,4,10.580097198486328,-23.212098807980787,69.77115086146763,-0.9618270180442117,3.911718280911147,1,2.777777777777768
7,8,DeepLearning,3-5-2,45.58009719848633,37,35,36,Cole Palmer,4,10.580097198486328,-23.212098807980787,69.77115086146763,-0.9618270180442117,3.911718280911147,1,2.777777777777768
7,8,GBReg,5-3-2,50.948044408168585,35,33,36,Cole Palmer,4,17.948044408168585,-35.22813214257729,45.61198664191338,-1.631640400742598,3.4773440316886957,-1,-2.777777777777779
7,8,GBReg,5-3-2,50.948044408168585,35,33,36,Cole Palmer,4,17.948044408168585,-35.22813214257729,45.61198664191338,-1.631640400742598,3.4773440316886957,-1,-2.777777777777779
7,8,LSTM,3-4-3,76.38707971572876,52,50,36,Cole Palmer,4,26.38707971572876,-34.54390430152212,47.22584056854247,-2.3988254287026147,6.898736675243278,16,44.44444444444444
